SerialNumber,NetworkIPv4_CIDR,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude
0,10.129.9.192/26,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
1,10.129.13.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
2,10.129.3.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
3,10.129.2.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
4,10.129.7.0/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
5,10.129.6.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
6,10.129.5.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
7,10.129.9.0/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
8,10.129.4.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
9,10.129.10.0/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
10,10.129.31.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
11,10.129.10.64/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
12,10.129.37.0/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
13,10.129.38.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
14,10.129.34.0/23,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
15,10.129.44.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
16,10.129.45.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
17,10.129.9.160/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
18,10.129.46.0/23,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
19,10.129.9.32/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
20,10.129.41.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
21,10.129.10.32/27,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
22,10.129.18.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
23,10.129.19.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
24,10.129.29.0/25,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
25,10.129.40.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
26,10.129.8.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
27,10.129.16.0/23,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
28,10.129.24.0/23,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
29,10.129.23.0/24,Argentina,AR,Buenos Aires F.D.,07,Buenos Aires,-34.6021,-58.3845
39,10.49.14.28/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
40,10.49.14.32/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
41,10.49.14.48/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
42,10.49.14.80/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
43,10.49.14.96/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
44,10.49.14.112/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
45,10.49.8.0/22,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
46,10.49.35.0/24,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
47,10.49.31.0/24,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
48,10.49.26.0/23,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
49,10.49.14.128/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
50,10.49.14.144/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
51,10.49.14.160/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
52,10.49.14.176/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
53,10.49.14.44/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
54,10.49.120.0/24,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
55,10.49.13.0/24,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
56,10.49.14.0/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
57,10.49.14.8/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
58,10.49.14.12/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
59,10.49.14.16/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
60,10.49.14.20/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
61,10.49.14.36/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
62,10.61.136.0/22,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
63,10.50.50.12/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
64,10.49.14.40/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
65,10.49.14.24/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
66,10.49.14.4/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
67,10.49.14.64/28,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
68,10.49.14.204/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
69,10.49.14.192/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
70,10.49.14.196/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
71,10.49.14.224/30,Australia,AU,South Australia,05,Adelaide,-34.8716,138.676
72,10.49.242.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
73,139.130.214.216/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
74,203.39.143.0/27,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
75,210.185.64.0/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
76,210.185.65.0/27,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
77,10.49.121.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
78,10.254.208.128/25,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
79,10.254.209.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
80,10.1.220.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
81,10.49.99.0/26,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
82,10.49.122.0/26,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
83,10.49.125.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
84,10.49.241.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
85,10.50.50.0/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
86,10.101.22.156/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
87,10.61.141.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
88,10.101.22.172/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
89,10.49.0.0/22,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
90,10.49.123.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
91,10.49.126.0/27,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
92,10.61.142.140/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
93,10.61.142.136/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
94,10.61.142.132/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
95,10.61.142.128/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
96,10.61.142.0/25,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
97,10.61.143.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
98,10.49.126.32/27,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
99,10.49.20.0/23,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
100,10.49.28.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
101,10.49.32.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
102,10.49.36.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
103,10.49.37.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
104,10.61.128.0/22,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
105,10.101.22.184/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
106,10.101.22.188/30,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
107,10.120.66.32/29,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
108,10.254.248.64/27,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
109,10.61.140.0/24,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
110,10.13.98.48/28,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
111,10.253.208.0/28,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
112,10.253.210.0/28,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002
113,10.49.224.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
114,10.101.19.236/30,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
115,10.49.99.64/26,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
116,139.130.197.204/30,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
117,203.42.5.224/27,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
118,10.49.222.0/25,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
119,10.254.248.96/27,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
120,10.49.4.0/22,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
121,10.49.40.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
122,10.49.38.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
123,10.61.194.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
124,10.49.33.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
125,10.49.127.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
126,10.49.22.0/23,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
127,10.49.221.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
128,10.49.29.0/24,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
129,10.50.50.4/30,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
130,10.49.46.0/25,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
131,10.49.46.128/25,Australia,AU,Victoria,07,Melbourne,-37.81,144.9644
132,10.49.30.0/24,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
133,10.49.34.0/24,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
134,10.49.39.0/24,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
135,10.49.41.0/24,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
136,10.61.193.0/24,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
137,10.49.99.160/27,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
138,10.49.24.0/23,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
139,10.50.50.8/30,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
140,10.49.124.0/24,Australia,AU,Australian Capital Territory,01,Canberra,-35.2892,149.1542
141,10.50.50.16/30,Australia,AU,Queensland,04,Fortitude Valley,-27.4633,153.0374
142,10.49.217.0/27,Australia,AU,Queensland,04,Fortitude Valley,-27.4633,153.0374
143,10.49.216.64/26,Australia,AU,Queensland,04,Fortitude Valley,-27.4633,153.0374
144,10.49.216.192/26,Australia,AU,Queensland,04,Fortitude Valley,-27.4633,153.0374
145,10.49.216.128/26,Australia,AU,Queensland,04,Fortitude Valley,-27.4633,153.0374
146,10.49.216.0/26,Australia,AU,Queensland,04,Fortitude Valley,-27.4633,153.0374
192,10.32.98.0/29,Belgium,BE,Flemish Brabant Province,12,Diegem,50.8973,4.4335
193,10.32.15.200/29,Belgium,BE,Flemish Brabant Province,12,Diegem,50.8973,4.4335
194,10.32.15.224/29,Belgium,BE,Flemish Brabant Province,12,Diegem,50.8973,4.4335
195,10.32.15.216/29,Belgium,BE,Flemish Brabant Province,12,Diegem,50.8973,4.4335
196,10.32.22.0/23,Belgium,BE,Flemish Brabant Province,12,Diegem,50.8973,4.4335
197,192.168.11.0/27,Belgium,BE,Antwerp Province,01,Turnhout,51.3224,4.9432
259,10.130.139.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
260,10.130.129.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
261,172.28.21.64/26,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
262,10.130.130.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
263,10.130.131.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
264,10.130.132.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
265,10.130.133.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
266,10.130.134.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
267,10.130.135.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
268,10.130.136.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
269,10.130.137.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
270,10.130.138.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
271,10.130.140.64/26,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
272,10.130.140.128/26,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
273,10.130.143.240/28,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
274,10.130.144.0/28,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
275,10.130.144.32/27,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
276,10.130.144.96/29,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
277,10.130.186.12/30,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
278,172.28.21.16/32,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
279,172.28.21.128/28,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
280,172.28.21.168/29,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
281,10.130.128.0/24,Brazil,BR,Rio de Janeiro,21,Rio de Janeiro,-22.9201,-43.3307
298,172.24.7.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
299,172.23.216.0/25,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
300,172.23.216.128/25,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
301,10.130.60.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
302,10.130.61.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
303,10.130.80.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
304,10.130.81.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
305,10.130.82.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
306,10.130.83.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
307,10.130.84.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
308,10.130.85.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
309,10.130.86.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
310,10.130.87.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
311,10.130.90.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
312,10.130.95.0/27,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
313,10.130.95.128/25,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
314,10.130.96.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
315,10.130.97.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
316,10.130.99.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
317,10.130.100.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
318,10.130.101.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
319,10.130.102.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
320,10.130.103.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
321,10.130.104.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
322,10.130.105.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
323,10.130.106.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
324,10.130.107.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
325,10.130.59.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
326,10.130.58.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
327,10.130.57.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
328,10.130.56.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
329,10.130.108.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
330,10.130.12.0/28,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
331,10.130.28.0/22,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
332,10.130.40.128/29,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
333,10.130.43.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
334,10.130.44.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
335,10.130.45.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
336,10.130.46.0/23,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
337,10.130.48.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
338,10.130.49.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
339,10.130.50.0/23,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
340,10.130.53.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
341,10.130.54.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
342,10.130.55.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
343,10.130.109.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
344,10.130.98.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
345,10.130.111.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
346,10.130.110.0/24,Brazil,BR,Sao Paulo,27,Barueri,-23.4983,-46.8651
