,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
0,1.0.5.0/24,13628,Spain,ES,Madrid,29,Alcobendas,40.5458,-3.6443,0
1,1.0.130.0/24,13588,Spain,ES,Madrid,29,Madrid,40.4143,-3.7016,1
2,1.0.131.0/24,13590,Spain,ES,Madrid,29,Madrid,40.4143,-3.7016,2
3,1.0.144.128/26,13532,Spain,ES,Catalonia,56,Barcelona,41.3891,2.1611,3
4,1.0.144.192/28,13533,Spain,ES,Catalonia,56,Barcelona,41.3891,2.1611,4
5,1.2.16.0/23,13560,Spain,ES,Catalonia,56,Barcelona,41.3891,2.1611,5
6,10.0.0.0/24,12160,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,6
7,10.0.30.5/32,12163,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,7
8,10.0.30.35/32,11496,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,8
9,10.0.30.47/32,11498,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,9
10,10.0.30.55/32,12169,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,10
11,10.0.30.155/32,11481,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,11
12,10.0.30.157/32,11450,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,12
13,10.0.30.160/32,11553,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,13
14,10.0.30.199/32,11525,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,14
15,10.0.40.0/24,2178,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,15
16,10.0.42.0/24,2176,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,16
17,10.0.43.0/24,2164,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,17
18,10.0.52.0/24,12416,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,18
19,10.0.56.0/24,2175,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,19
20,10.0.57.0/24,2174,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,20
21,10.0.58.0/24,2173,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,21
22,10.0.59.0/24,2172,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,22
23,10.0.60.0/24,2171,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,23
24,10.0.61.0/24,2170,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,24
25,10.0.62.0/24,2177,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,25
26,10.0.63.0/24,2180,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,26
27,10.0.64.0/24,2181,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,27
28,10.0.65.0/24,2182,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,28
29,10.0.66.0/24,2193,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,29
30,10.0.67.0/24,2192,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,30
31,10.0.68.0/24,2191,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,31
32,10.0.69.0/24,2190,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,32
33,10.0.70.0/24,2189,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,33
34,10.0.71.0/24,2188,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,34
35,10.0.72.0/24,2187,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,35
36,10.0.78.0/24,2185,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,36
37,10.0.79.0/24,2184,France,FR,Nouvelle-Aquitaine,NAQ,Pau,43.304,-0.3744,37
38,10.1.1.0/24,1864,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,38
39,10.1.2.0/24,1863,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,39
40,10.1.7.0/24,1866,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,40
41,10.1.27.78/32,11389,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,41
42,10.1.220.0/24,80,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002,42
43,10.2.0.0/24,9793,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,43
44,10.3.199.48/32,11514,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,44
45,10.4.75.0/24,3793,India,IN,Maharashtra,16,Pune,18.5213,73.8523,45
46,10.8.28.0/24,12177,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,46
47,10.10.1.128/25,10282,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,47
48,10.10.10.0/24,1241,France,FR,Pays de la Loire,PDL,Nantes,47.2145,-1.5512,48
49,10.10.11.0/27,1262,France,FR,Pays de la Loire,PDL,Nantes,47.2145,-1.5512,49
50,10.10.12.0/24,1263,France,FR,Pays de la Loire,PDL,Nantes,47.2145,-1.5512,50
51,10.10.51.48/29,4489,India,IN,Maharashtra,16,Mumbai,19.0748,72.8856,51
52,10.10.51.160/29,7791,India,IN,Tamil Nadu,25,Salem,11.6538,78.1554,52
53,10.10.68.24/30,13901,United Kingdom,GB,England,ENG,London,51.5329,-0.005,53
54,10.10.68.28/30,13922,United Kingdom,GB,England,ENG,London,51.5329,-0.005,54
55,10.10.74.0/30,4398,India,IN,Maharashtra,16,Mumbai,19.0748,72.8856,55
56,10.10.74.4/30,4397,India,IN,Maharashtra,16,Mumbai,19.0748,72.8856,56
57,10.10.74.40/29,4616,India,IN,Maharashtra,16,Mumbai,19.0748,72.8856,57
58,10.10.74.152/29,4613,India,IN,Maharashtra,16,Mumbai,19.0748,72.8856,58
59,10.10.78.128/29,7793,India,IN,Tamil Nadu,25,Salem,11.6538,78.1554,59
60,10.10.78.136/29,7792,India,IN,Tamil Nadu,25,Salem,11.6538,78.1554,60
61,10.10.84.224/30,13917,United Kingdom,GB,England,ENG,London,51.5329,-0.005,61
62,10.10.84.228/30,13923,United Kingdom,GB,England,ENG,London,51.5329,-0.005,62
63,10.10.160.200/30,13926,United Kingdom,GB,England,ENG,London,51.5329,-0.005,63
64,10.10.160.204/30,13919,United Kingdom,GB,England,ENG,London,51.5329,-0.005,64
65,10.10.164.144/30,13914,United Kingdom,GB,England,ENG,London,51.5329,-0.005,65
66,10.10.164.148/30,13924,United Kingdom,GB,England,ENG,London,51.5329,-0.005,66
67,10.12.0.0/24,12157,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,67
68,10.13.0.0/24,8672,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,68
69,10.13.16.0/21,5109,India,IN,Maharashtra,16,Mumbai,19.0748,72.8856,69
70,10.13.24.0/24,8168,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,70
71,10.13.25.0/24,8169,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,71
72,10.13.26.0/24,8140,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,72
73,10.13.28.0/24,8139,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,73
74,10.13.30.0/24,8138,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,74
75,10.13.31.0/24,8122,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,75
76,10.13.32.0/24,8109,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,76
77,10.13.36.0/24,8110,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,77
78,10.13.98.48/28,110,Australia,AU,New South Wales,02,Sydney,-33.8591,151.2002,78
79,10.13.168.0/24,8111,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,79
80,10.13.169.0/24,8112,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,80
81,10.13.170.0/24,8113,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,81
82,10.13.173.0/24,8114,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,82
83,10.13.175.0/24,8115,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,83
84,10.14.33.0/24,8116,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,84
85,10.14.36.0/24,8117,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,85
86,10.14.39.0/24,8118,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,86
87,10.14.40.0/24,8119,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,87
88,10.14.41.0/24,8120,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,88
89,10.14.42.0/24,8137,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,89
90,10.14.44.0/24,8124,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,90
91,10.14.45.0/24,8125,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,91
92,10.14.46.0/24,8126,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,92
93,10.14.49.0/24,8127,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,93
94,10.14.50.0/24,8128,Netherlands,NL,North Holland,07,Amsterdam,52.3534,4.9087,94
